Analizador lexico:
LexToken(IMPORT,'import',1,0)
LexToken(LPAREN,'(',1,7)
LexToken(CHARSTRING,'"fmt"',1,10)
LexToken(RPAREN,')',1,16)
LexToken(FUNCTION,'func',1,19)
LexToken(VARIABLE,'fibonacci',1,24)
LexToken(LPAREN,'(',1,33)
LexToken(VARIABLE,'n',1,34)
LexToken(INTSTATE,'int',1,36)
LexToken(RPAREN,')',1,39)
LexToken(LBRACKET,'[',1,41)
LexToken(RBRACKET,']',1,42)
LexToken(INTSTATE,'int',1,43)
LexToken(LBRACE,'{',1,47)
LexToken(IF,'if',1,50)
LexToken(VARIABLE,'n',1,53)
LexToken(LESSEQUALS,'<=',1,55)
LexToken(INT,0,1,58)
LexToken(LBRACE,'{',1,60)
LexToken(RETURN,'return',1,64)
LexToken(LBRACKET,'[',1,71)
LexToken(RBRACKET,']',1,72)
LexToken(INTSTATE,'int',1,73)
LexToken(LBRACE,'{',1,76)
LexToken(RBRACE,'}',1,77)
LexToken(RBRACE,'}',1,80)
LexToken(VARIABLE,'series',1,83)
LexToken(COLON,':',1,90)
LexToken(ASSIGN,'=',1,91)
LexToken(MAKE,'make',1,93)
LexToken(LPAREN,'(',1,97)
LexToken(LBRACKET,'[',1,98)
LexToken(RBRACKET,']',1,99)
LexToken(INTSTATE,'int',1,100)
LexToken(COMMA,',',1,103)
LexToken(VARIABLE,'n',1,105)
LexToken(RPAREN,')',1,106)
LexToken(VARIABLE,'series',1,109)
LexToken(LBRACKET,'[',1,115)
LexToken(INT,0,1,116)
LexToken(RBRACKET,']',1,117)
LexToken(ASSIGN,'=',1,119)
LexToken(INT,0,1,121)
LexToken(IF,'if',1,124)
LexToken(VARIABLE,'n',1,127)
LexToken(GREATER,'>',1,129)
LexToken(INT,1,1,131)
LexToken(LBRACE,'{',1,133)
LexToken(VARIABLE,'series',1,137)
LexToken(LBRACKET,'[',1,143)
LexToken(INT,1,1,144)
LexToken(RBRACKET,']',1,145)
LexToken(ASSIGN,'=',1,147)
LexToken(INT,1,1,149)
LexToken(FOR,'for',1,153)
LexToken(VARIABLE,'i',1,157)
LexToken(COLON,':',1,159)
LexToken(ASSIGN,'=',1,160)
LexToken(INT,2,1,162)
LexToken(SEMICOLON,';',1,163)
LexToken(VARIABLE,'i',1,165)
LexToken(LESS,'<',1,167)
LexToken(VARIABLE,'n',1,169)
LexToken(SEMICOLON,';',1,170)
LexToken(VARIABLE,'i',1,172)
LexToken(INCREMENT,'++',1,173)
LexToken(LBRACE,'{',1,176)
LexToken(VARIABLE,'series',1,181)
LexToken(LBRACKET,'[',1,187)
LexToken(VARIABLE,'i',1,188)
LexToken(RBRACKET,']',1,189)
LexToken(ASSIGN,'=',1,191)
LexToken(VARIABLE,'series',1,193)
LexToken(LBRACKET,'[',1,199)
LexToken(VARIABLE,'i',1,200)
LexToken(INT,-1,1,201)
LexToken(RBRACKET,']',1,203)
LexToken(PLUS,'+',1,205)
LexToken(VARIABLE,'series',1,207)
LexToken(LBRACKET,'[',1,213)
LexToken(VARIABLE,'i',1,214)
LexToken(INT,-2,1,215)
LexToken(RBRACKET,']',1,217)
LexToken(RBRACE,'}',1,221)
LexToken(RBRACE,'}',1,224)
LexToken(RETURN,'return',1,227)
LexToken(VARIABLE,'series',1,234)
LexToken(RBRACE,'}',1,241)
LexToken(FUNCTION,'func',1,244)
LexToken(MAIN,'main',1,249)
LexToken(LPAREN,'(',1,253)
LexToken(RPAREN,')',1,254)
LexToken(LBRACE,'{',1,256)
LexToken(VARIABLE,'num',1,259)
LexToken(COLON,':',1,263)
LexToken(ASSIGN,'=',1,264)
LexToken(INT,10,1,266)
LexToken(VARIABLE,'fibSeries',1,270)
LexToken(COLON,':',1,280)
LexToken(ASSIGN,'=',1,281)
LexToken(VARIABLE,'fibonacci',1,283)
LexToken(LPAREN,'(',1,292)
LexToken(VARIABLE,'num',1,293)
LexToken(RPAREN,')',1,296)
LexToken(PRINT,'fmt.Print',1,299)
LexToken(VARIABLE,'f',1,308)
LexToken(LPAREN,'(',1,309)
LexToken(CHARSTRING,'"Los primeros %d números de Fibonacci son: %v\\n"',1,310)
LexToken(COMMA,',',1,358)
LexToken(VARIABLE,'num',1,360)
LexToken(COMMA,',',1,363)
LexToken(VARIABLE,'fibSeries',1,365)
LexToken(RPAREN,')',1,374)
LexToken(RBRACE,'}',1,376)
