Analizador lexico:
LexToken(PACKAGE,'package',1,22)
LexToken(MAIN,'main',1,30)
LexToken(IMPORT,'import',1,37)
LexToken(LPAREN,'(',1,44)
LexToken(CHARSTRING,'"fmt"',1,48)
LexToken(CHARSTRING,'"otroImport"',1,56)
LexToken(RPAREN,')',1,70)
LexToken(FUNCTION,'func',1,73)
LexToken(MAIN,'main',1,78)
LexToken(LPAREN,'(',1,82)
LexToken(RPAREN,')',1,83)
LexToken(LBRACE,'{',1,84)
LexToken(VAR,'var',1,90)
LexToken(VARIABLE,'valor2',1,94)
LexToken(INT,'int',1,101)
LexToken(ASSIGN,'=',1,104)
LexToken(INT,20,1,105)
LexToken(VAR,'var',1,110)
LexToken(VARIABLE,'valor3',1,114)
LexToken(INT,'int',1,121)
LexToken(ASSIGN,'=',1,124)
LexToken(INT,30,1,125)
LexToken(FUNCTION,'func',1,131)
LexToken(VARIABLE,'pruebaPrints',1,136)
LexToken(LPAREN,'(',1,148)
LexToken(RPAREN,')',1,149)
LexToken(LBRACE,'{',1,150)
LexToken(VAR,'var',1,155)
LexToken(VARIABLE,'name',1,159)
LexToken(STRING,'string',1,164)
LexToken(VAR,'var',1,174)
LexToken(VARIABLE,'age',1,178)
LexToken(INT,'int',1,182)
LexToken(VAR,'var',1,189)
LexToken(VARIABLE,'height',1,193)
LexToken(FLOAT,'float',1,200)
LexToken(PRINT,'fmt.Println',1,209)
LexToken(LPAREN,'(',1,220)
LexToken(INT,10,1,221)
LexToken(COMMA,',',1,223)
LexToken(INT,11,1,224)
LexToken(COMMA,',',1,226)
LexToken(INT,12,1,227)
LexToken(RPAREN,')',1,229)
LexToken(PRINTF,'fmt.Printf',1,234)
LexToken(LPAREN,'(',1,244)
LexToken(FORMATSTRING,'"Name: %s, Age: %d, Height: %.2f\\n"',1,245)
LexToken(COMMA,',',1,280)
LexToken(VARIABLE,'name',1,282)
LexToken(COMMA,',',1,286)
LexToken(VARIABLE,'age',1,288)
LexToken(COMMA,',',1,291)
LexToken(VARIABLE,'height',1,293)
LexToken(RPAREN,')',1,299)
LexToken(PRINT,'fmt.Println',1,304)
LexToken(LPAREN,'(',1,315)
LexToken(RPAREN,')',1,316)
LexToken(RBRACE,'}',1,320)
LexToken(FUNCTION,'func',1,325)
LexToken(VARIABLE,'pruebaInputs',1,330)
LexToken(LPAREN,'(',1,342)
LexToken(RPAREN,')',1,343)
LexToken(LBRACE,'{',1,344)
LexToken(VAR,'var',1,349)
LexToken(VARIABLE,'entrada',1,353)
LexToken(STRING,'string',1,361)
LexToken(VAR,'var',1,371)
LexToken(VARIABLE,'values1',1,375)
LexToken(STRING,'string',1,383)
LexToken(VAR,'var',1,393)
LexToken(VARIABLE,'values2',1,397)
LexToken(STRING,'string',1,405)
LexToken(INPUT,'fmt.Scan',1,415)
LexToken(LPAREN,'(',1,423)
LexToken(VARIABLE,'entrada',1,424)
LexToken(RPAREN,')',1,431)
LexToken(INPUT,'fmt.Scan',1,436)
LexToken(LPAREN,'(',1,444)
LexToken(VARIABLE,'values1',1,445)
LexToken(COMMA,',',1,452)
LexToken(VARIABLE,'values2',1,453)
LexToken(RPAREN,')',1,460)
LexToken(INPUT,'fmt.Scanln',1,465)
LexToken(LPAREN,'(',1,475)
LexToken(RPAREN,')',1,476)
LexToken(RBRACE,'}',1,480)
LexToken(FUNCTION,'func',1,485)
LexToken(VARIABLE,'operaciones',1,490)
LexToken(LPAREN,'(',1,501)
LexToken(VARIABLE,'valor1',1,502)
LexToken(INT,'int',1,509)
LexToken(COMMA,',',1,512)
