Analizador lexico:
LexToken(INT,8,1,814)
LexToken(COMMA,',',1,815)
LexToken(INT,7,1,816)
LexToken(RBRACE,'}',1,817)
LexToken(RBRACE,'}',1,820)
LexToken(FUNCTION,'func',1,824)
LexToken(VARIABLE,'pruebaMap',1,829)
LexToken(LPAREN,'(',1,838)
LexToken(RPAREN,')',1,839)
LexToken(LBRACE,'{',1,840)
LexToken(VARIABLE,'mapa1',1,844)
LexToken(SHORTASSIGN,':=',1,850)
LexToken(MAP,'map',1,853)
LexToken(LBRACKET,'[',1,856)
LexToken(INT,'int',1,857)
LexToken(RBRACKET,']',1,860)
LexToken(STRING,'string',1,862)
LexToken(LBRACE,'{',1,869)
LexToken(INT,10,1,874)
LexToken(COLON,':',1,877)
LexToken(CHARSTRING,'"value1"',1,879)
LexToken(COMMA,',',1,887)
LexToken(INT,11,1,892)
LexToken(COLON,':',1,895)
LexToken(CHARSTRING,'"value2"',1,897)
LexToken(COMMA,',',1,905)
LexToken(INT,12,1,910)
LexToken(COLON,':',1,913)
LexToken(CHARSTRING,'"value3"',1,915)
LexToken(RBRACE,'}',1,926)
LexToken(VARIABLE,'mapa2',1,931)
LexToken(SHORTASSIGN,':=',1,937)
LexToken(MAKE,'make',1,940)
LexToken(LPAREN,'(',1,945)
LexToken(MAP,'map',1,946)
LexToken(LBRACKET,'[',1,949)
LexToken(INT,'int',1,950)
LexToken(RBRACKET,']',1,953)
LexToken(INT,'int',1,955)
LexToken(RPAREN,')',1,958)
LexToken(VARIABLE,'mapa1',1,962)
LexToken(LBRACKET,'[',1,967)
LexToken(INT,10,1,968)
LexToken(RBRACKET,']',1,970)
LexToken(ASSIGN,'=',1,971)
LexToken(CHARSTRING,'"value4"',1,972)
LexToken(RBRACE,'}',1,982)
LexToken(FUNCTION,'func',1,986)
LexToken(VARIABLE,'pruebaSlice',1,991)
LexToken(LPAREN,'(',1,1002)
LexToken(RPAREN,')',1,1003)
LexToken(LBRACE,'{',1,1005)
LexToken(VARIABLE,'slice1',1,1009)
LexToken(SHORTASSIGN,':=',1,1016)
LexToken(LBRACKET,'[',1,1019)
LexToken(RBRACKET,']',1,1020)
LexToken(STRING,'string',1,1022)
LexToken(LBRACE,'{',1,1029)
LexToken(CHARSTRING,'"valor1"',1,1030)
LexToken(COMMA,',',1,1038)
LexToken(CHARSTRING,'"valor2"',1,1039)
LexToken(COMMA,',',1,1047)
LexToken(CHARSTRING,'"valor3"',1,1048)
LexToken(RBRACE,'}',1,1056)
LexToken(VAR,'var',1,1060)
LexToken(VARIABLE,'slice2',1,1064)
LexToken(LBRACKET,'[',1,1070)
LexToken(RBRACKET,']',1,1071)
LexToken(STRING,'string',1,1073)
LexToken(VARIABLE,'slice3',1,1083)
LexToken(SHORTASSIGN,':=',1,1090)
LexToken(LBRACKET,'[',1,1093)
LexToken(RBRACKET,']',1,1094)
LexToken(INT,'int',1,1096)
LexToken(VARIABLE,'slice3',1,1102)
LexToken(ASSIGN,'=',1,1109)
LexToken(APPEND,'append',1,1111)
LexToken(LPAREN,'(',1,1118)
LexToken(VARIABLE,'slice3',1,1119)
LexToken(COMMA,',',1,1125)
LexToken(INT,9,1,1126)
LexToken(RPAREN,')',1,1127)
LexToken(VARIABLE,'slice3',1,1131)
LexToken(ASSIGN,'=',1,1138)
LexToken(APPEND,'append',1,1140)
LexToken(LPAREN,'(',1,1147)
LexToken(VARIABLE,'slice3',1,1148)
LexToken(COMMA,',',1,1154)
LexToken(LBRACKET,'[',1,1155)
LexToken(RBRACKET,']',1,1156)
LexToken(INT,'int',1,1157)
LexToken(LBRACE,'{',1,1160)
LexToken(INT,10,1,1161)
LexToken(COMMA,',',1,1163)
LexToken(INT,11,1,1164)
LexToken(COMMA,',',1,1166)
LexToken(INT,12,1,1167)
LexToken(RBRACE,'}',1,1169)
LexToken(RPAREN,')',1,1170)
LexToken(RBRACE,'}',1,1173)
LexToken(FUNCTION,'func',1,1177)
LexToken(VARIABLE,'pruebaIf',1,1182)
LexToken(LPAREN,'(',1,1190)
LexToken(VARIABLE,'valor1',1,1191)
LexToken(INT,'int',1,1198)
LexToken(COMMA,',',1,1201)
LexToken(VARIABLE,'valor2',1,1203)
LexToken(INT,'int',1,1210)
LexToken(COMMA,',',1,1213)
LexToken(VARIABLE,'valor3',1,1215)
LexToken(INT,'int',1,1222)
LexToken(RPAREN,')',1,1225)
LexToken(BOOL,'bool',1,1227)
LexToken(LBRACE,'{',1,1232)
LexToken(VAR,'var',1,1236)
LexToken(VARIABLE,'valorNuevo',1,1240)
LexToken(INT,'int',1,1251)
LexToken(VAR,'var',1,1257)
LexToken(VARIABLE,'salida',1,1261)
LexToken(BOOL,'bool',1,1268)
LexToken(IF,'if',1,1275)
LexToken(VARIABLE,'valor1',1,1278)
LexToken(GREATEREQUALS,'>=',1,1284)
LexToken(VARIABLE,'valor2',1,1286)
LexToken(LBRACE,'{',1,1293)
LexToken(VARIABLE,'valorNuevo',1,1298)
LexToken(ASSIGN,'=',1,1308)
LexToken(VARIABLE,'valor1',1,1309)
LexToken(DIVIDE,'/',1,1315)
LexToken(VARIABLE,'valor2',1,1316)
LexToken(IF,'if',1,1326)
LexToken(VARIABLE,'valorNuevo',1,1329)
LexToken(EQUALS,'==',1,1339)
LexToken(INT,10,1,1341)
LexToken(LBRACE,'{',1,1344)
LexToken(RETURN,'return',1,1350)
LexToken(VARIABLE,'True',1,1357)
LexToken(RBRACE,'}',1,1365)
LexToken(RETURN,'return',1,1370)
LexToken(VARIABLE,'False',1,1377)
LexToken(RBRACE,'}',1,1385)
LexToken(ELSE,'else',1,1390)
LexToken(IF,'if',1,1395)
LexToken(VARIABLE,'valor2',1,1398)
LexToken(EQUALS,'==',1,1404)
LexToken(VARIABLE,'valor3',1,1406)
LexToken(AND,'&&',1,1413)
LexToken(VARIABLE,'valor3',1,1416)
LexToken(DIFFERENT,'!=',1,1422)
LexToken(INT,200,1,1424)
LexToken(LBRACE,'{',1,1428)
LexToken(RETURN,'return',1,1433)
LexToken(VARIABLE,'True',1,1440)
LexToken(RBRACE,'}',1,1447)
LexToken(ELSE,'else',1,1452)
LexToken(LBRACE,'{',1,1457)
LexToken(VARIABLE,'valorNuevo',1,1462)
LexToken(ASSIGN,'=',1,1472)
LexToken(VARIABLE,'valor2',1,1473)
LexToken(TIMES,'*',1,1479)
LexToken(VARIABLE,'valor3',1,1480)
LexToken(IF,'if',1,1490)
LexToken(VARIABLE,'valorNuevo',1,1493)
LexToken(GREATER,'>',1,1503)
LexToken(INT,10,1,1504)
LexToken(OR,'||',1,1507)
LexToken(VARIABLE,'valorNuevo',1,1510)
LexToken(LESS,'<',1,1521)
LexToken(INT,100,1,1522)
LexToken(LBRACE,'{',1,1526)
LexToken(RETURN,'return',1,1532)
LexToken(VARIABLE,'True',1,1539)
LexToken(RBRACE,'}',1,1547)
LexToken(RETURN,'return',1,1553)
LexToken(VARIABLE,'False',1,1560)
LexToken(RBRACE,'}',1,1568)
LexToken(RETURN,'return',1,1573)
LexToken(VARIABLE,'False',1,1580)
LexToken(RBRACE,'}',1,1587)
LexToken(FUNCTION,'func',1,1591)
LexToken(VARIABLE,'pruebaFor',1,1596)
LexToken(LPAREN,'(',1,1605)
LexToken(RPAREN,')',1,1606)
LexToken(LBRACE,'{',1,1608)
LexToken(VAR,'var',1,1612)
LexToken(VARIABLE,'list',1,1616)
LexToken(INT,'int',1,1621)
LexToken(VAR,'var',1,1627)
LexToken(VARIABLE,'i',1,1631)
LexToken(INT,'int',1,1633)
LexToken(ASSIGN,'=',1,1636)
LexToken(INT,0,1,1637)
LexToken(VAR,'var',1,1641)
LexToken(VARIABLE,'valor',1,1645)
LexToken(INT,'int',1,1651)
LexToken(FOR,'for',1,1658)
LexToken(VARIABLE,'i',1,1662)
LexToken(SHORTASSIGN,':=',1,1663)
LexToken(INT,0,1,1665)
LexToken(SEMICOLON,';',1,1666)
LexToken(VARIABLE,'i',1,1668)
LexToken(LESS,'<',1,1669)
LexToken(INT,10,1,1670)
LexToken(SEMICOLON,';',1,1673)
LexToken(VARIABLE,'i',1,1675)
LexToken(INCREMENT,'++',1,1676)
LexToken(LBRACE,'{',1,1679)
LexToken(VARIABLE,'valor',1,1684)
LexToken(ASSIGN,'=',1,1690)
LexToken(VARIABLE,'list',1,1692)
LexToken(PRINT,'fmt.Print',1,1700)
LexToken(LPAREN,'(',1,1709)
LexToken(VARIABLE,'valor',1,1710)
LexToken(RPAREN,')',1,1715)
LexToken(RBRACE,'}',1,1719)
LexToken(FOR,'for',1,1724)
LexToken(LBRACE,'{',1,1728)
LexToken(PRINT,'fmt.Print',1,1733)
LexToken(LPAREN,'(',1,1742)
LexToken(CHARSTRING,'"Hola"',1,1743)
LexToken(RPAREN,')',1,1749)
LexToken(RBRACE,'}',1,1753)
LexToken(VAR,'var',1,1758)
LexToken(VARIABLE,'nombres',1,1762)
LexToken(LBRACKET,'[',1,1769)
LexToken(INT,10,1,1770)
LexToken(RBRACKET,']',1,1772)
LexToken(STRING,'string',1,1774)
LexToken(VAR,'var',1,1783)
LexToken(VARIABLE,'nombre',1,1787)
LexToken(STRING,'string',1,1794)
LexToken(FOR,'for',1,1803)
LexToken(VARIABLE,'i',1,1807)
LexToken(COMMA,',',1,1808)
LexToken(VARIABLE,'nombre',1,1810)
LexToken(SHORTASSIGN,':=',1,1816)
LexToken(RANGE,'range',1,1818)
LexToken(VARIABLE,'nombres',1,1824)
LexToken(LBRACE,'{',1,1831)
LexToken(PRINT,'fmt.Println',1,1836)
LexToken(LPAREN,'(',1,1847)
LexToken(VARIABLE,'nombre',1,1848)
LexToken(RPAREN,')',1,1854)
LexToken(RBRACE,'}',1,1858)
LexToken(RBRACE,'}',1,1861)
LexToken(FUNCTION,'func',1,1866)
LexToken(VARIABLE,'pruebaSwitch',1,1871)
LexToken(LPAREN,'(',1,1884)
LexToken(RPAREN,')',1,1885)
LexToken(LBRACE,'{',1,1886)
LexToken(SWITCH,'switch',1,1890)
LexToken(VARIABLE,'caso',1,1897)
LexToken(SHORTASSIGN,':=',1,1901)
LexToken(INT,1,1,1903)
LexToken(LBRACE,'{',1,1905)
LexToken(CASE,'case',1,1910)
LexToken(INT,1,1,1915)
LexToken(COLON,':',1,1916)
LexToken(PRINT,'fmt.Print',1,1922)
LexToken(LPAREN,'(',1,1931)
LexToken(CHARSTRING,'"Caso 1"',1,1932)
LexToken(RPAREN,')',1,1940)
LexToken(CASE,'case',1,1945)
LexToken(INT,2,1,1950)
LexToken(COLON,':',1,1951)
LexToken(PRINT,'fmt.Print',1,1957)
LexToken(LPAREN,'(',1,1966)
LexToken(CHARSTRING,'"Caso 2"',1,1967)
LexToken(RPAREN,')',1,1975)
LexToken(CASE,'case',1,1980)
LexToken(INT,3,1,1985)
LexToken(COLON,':',1,1986)
LexToken(PRINT,'fmt.Print',1,1992)
LexToken(LPAREN,'(',1,2001)
LexToken(CHARSTRING,'"Caso 3"',1,2002)
LexToken(RPAREN,')',1,2010)
LexToken(DEFAULT,'default',1,2015)
LexToken(COLON,':',1,2022)
LexToken(PRINT,'fmt.Print',1,2028)
LexToken(LPAREN,'(',1,2037)
LexToken(CHARSTRING,'"Caso default"',1,2038)
LexToken(RPAREN,')',1,2052)
LexToken(RBRACE,'}',1,2056)
LexToken(RBRACE,'}',1,2059)
LexToken(RBRACE,'}',1,2062)
