Analizador lexico:
LexToken(PACKAGE,'package',1,22)
LexToken(MAIN,'main',1,30)
LexToken(IMPORT,'import',1,37)
LexToken(LPAREN,'(',1,44)
LexToken(CHARSTRING,'"fmt"',1,48)
LexToken(CHARSTRING,'"otroImport"',1,56)
LexToken(RPAREN,')',1,70)
LexToken(FUNCTION,'func',1,73)
LexToken(MAIN,'main',1,78)
LexToken(LPAREN,'(',1,82)
LexToken(RPAREN,')',1,83)
LexToken(LBRACE,'{',1,84)
LexToken(FUNCTION,'func',1,92)
LexToken(VARIABLE,'pruebaPrints',1,97)
LexToken(LPAREN,'(',1,109)
LexToken(RPAREN,')',1,110)
LexToken(LBRACE,'{',1,111)
LexToken(VAR,'var',1,116)
LexToken(VARIABLE,'name',1,120)
LexToken(STRING,'string',1,125)
LexToken(VAR,'var',1,135)
LexToken(VARIABLE,'age',1,139)
LexToken(INT,'int',1,143)
LexToken(VAR,'var',1,150)
LexToken(VARIABLE,'height',1,154)
LexToken(FLOAT,'float',1,161)
LexToken(PRINT,'fmt.Println',1,170)
LexToken(LPAREN,'(',1,181)
LexToken(INT,10,1,182)
LexToken(COMMA,',',1,184)
LexToken(INT,11,1,185)
LexToken(COMMA,',',1,187)
LexToken(INT,12,1,188)
LexToken(RPAREN,')',1,190)
LexToken(PRINTF,'fmt.Printf',1,195)
LexToken(LPAREN,'(',1,205)
LexToken(FORMATSTRING,'"Name: %s, Age: %d, Height: %.2f\\n"',1,206)
LexToken(COMMA,',',1,241)
LexToken(VARIABLE,'name',1,243)
LexToken(COMMA,',',1,247)
LexToken(VARIABLE,'age',1,249)
LexToken(COMMA,',',1,252)
LexToken(VARIABLE,'height',1,254)
LexToken(RPAREN,')',1,260)
LexToken(PRINT,'fmt.Println',1,265)
LexToken(LPAREN,'(',1,276)
LexToken(RPAREN,')',1,277)
LexToken(RBRACE,'}',1,281)
LexToken(FUNCTION,'func',1,286)
LexToken(VARIABLE,'pruebaInputs',1,291)
LexToken(LPAREN,'(',1,303)
LexToken(RPAREN,')',1,304)
LexToken(LBRACE,'{',1,305)
LexToken(VAR,'var',1,310)
LexToken(VARIABLE,'entrada',1,314)
LexToken(STRING,'string',1,322)
LexToken(VAR,'var',1,332)
LexToken(VARIABLE,'values1',1,336)
LexToken(STRING,'string',1,344)
LexToken(VAR,'var',1,354)
LexToken(VARIABLE,'values2',1,358)
LexToken(STRING,'string',1,366)
LexToken(INPUT,'fmt.Scan',1,376)
LexToken(LPAREN,'(',1,384)
LexToken(VARIABLE,'entrada',1,385)
LexToken(RPAREN,')',1,392)
LexToken(INPUT,'fmt.Scan',1,397)
LexToken(LPAREN,'(',1,405)
LexToken(VARIABLE,'values1',1,406)
LexToken(COMMA,',',1,413)
LexToken(VARIABLE,'values2',1,414)
LexToken(RPAREN,')',1,421)
LexToken(INPUT,'fmt.Scanln',1,426)
LexToken(LPAREN,'(',1,436)
LexToken(RPAREN,')',1,437)
LexToken(RBRACE,'}',1,441)
LexToken(FUNCTION,'func',1,446)
LexToken(VARIABLE,'operaciones',1,451)
LexToken(LPAREN,'(',1,462)
LexToken(VARIABLE,'valor1',1,463)
LexToken(INT,'int',1,470)
LexToken(COMMA,',',1,473)
LexToken(VARIABLE,'valor2',1,475)
LexToken(INT,'int',1,482)
LexToken(RPAREN,')',1,486)
LexToken(INT,'int',1,488)
LexToken(LBRACE,'{',1,492)
LexToken(VAR,'var',1,497)
LexToken(VARIABLE,'valor4',1,501)
LexToken(INT,'int',1,508)
LexToken(ASSIGN,'=',1,511)
LexToken(INT,0,1,512)
